shelter,address,city,prov,postcode,full_address,gcode,lat,long
FV Women's Transition to Housing,389 Church Street,Toronto,ON,M5B 2A1,"389 Church Street,Toronto,ON,","389, Church Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2J6, Canada",43.661551,-79.3788001
Fred Victor Women's Hostel,86 Lombard St.,Toronto,ON,M5C 1M3,"86 Lombard St.,Toronto,ON,","86, Lombard Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 3H5, Canada",43.6520802,-79.3743488
"Fred Victor, BUS",1161 Caledonia Road,Toronto,ON,M6A 2W9,"1161 Caledonia Road,Toronto,ON,","1161, Caledonia Road, Castlefield Design District, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6A 2W5, Canada",43.7156276,-79.4674122
Good Shepherd Centre,412 Queen Street East,Toronto,ON,M5A 1T3,"412 Queen Street East,Toronto,ON,","412, Queen Street East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3E5, Canada",43.656175,-79.3624789
HFS - Kennedy Shelter,702 Kennedy Rd,Toronto,ON,M1K 2B5,"702 Kennedy Rd,Toronto,ON,","702, Kennedy Road, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 3N8, Canada",43.727839790000004,-79.26629156
HFS - Savard's Womens' Shelter,1322 Bloor Street West,Toronto,ON,M6H 1P2,"1322 Bloor Street West,Toronto,ON,","1322, Bloor Street West, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 3Y9, Canada",43.658377,-79.4432364
HFS - Scarborough Shelter,3576 St. Clair Avenue East,Scarborough,ON,M1K 1M2,"3576 St. Clair Avenue East,Scarborough,ON,","3576, St Clair Avenue East, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 1G4, Canada",43.71729495,-79.25873748333333
HFS - Strachan House,805A Wellington Street W,Toronto,ON,M5V 1G8,"805A Wellington Street W,Toronto,ON,","Wellington Street West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3C7, Canada",43.6456267,-79.3876252
Horizons for Youth,422 Gilbert Avenue,Toronto,ON,M6E 4X3,"422 Gilbert Avenue,Toronto,ON,","422, Gilbert Avenue, Davenport, York, Toronto, Golden Horseshoe, Ontario, M6E 4Y2, Canada",43.68919647,-79.46210952
Kennedy House Youth shelter,1076 Pape Avenue,Toronto,ON,M4K 3W5,"1076 Pape Avenue,Toronto,ON,","1076, Pape Avenue, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4K 3W2, Canada",43.690771639999994,-79.34949638
Na-Me-Res,14 Vaughan Road,Toronto,ON,M6G 2N1,"14 Vaughan Road,Toronto,ON,","14, Vaughan Road, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 3J3, Canada",43.6814522,-79.4181972
Eagles Nest Transition House,558 Bathurst Street,Toronto,ON,M5S 2P9,"558 Bathurst Street,Toronto,ON,","558, Bathurst Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1T1, Canada",43.658445145098035,-79.40873056862745
Second Base Youth Shelter,702 Kennedy Road,Scarborough,ON,M1K 2B5,"702 Kennedy Road,Scarborough,ON,","702, Kennedy Road, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 3N8, Canada",43.727839790000004,-79.26629156
SVDP - Amelie House,126 Pape Avenue,Toronto,ON,M4M 2V8,"126 Pape Avenue,Toronto,ON,","126, Pape Avenue, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1K2, Canada",43.66253591428571,-79.33820214285714
